userID,object,side,action,trialID,phase,frameID,frameTimeStamp,px1,py1,pz1,px2,py2,pz2,px3,py3,pz3,px4,py4,pz4,px5,py5,pz5,px6,py6,pz6,px7,py7,pz7,px8,py8,pz8,px9,py9,pz9,px10,py10,pz10,px11,py11,pz11,px12,py12,pz12,px13,py13,pz13,px14,py14,pz14,px15,py15,pz15
22,box,right,touch,1,Grasped,598,622.8114,15.4345541417166,22.9624844710579,-24.9305828792415,13.6563541417166,29.8302144710579,-26.6238828792415,9.85885414171656,32.2257644710579,-19.4795828792415,11.0113541417166,35.7489044710579,-26.2685828792415,11.6593541417166,34.7537044710579,-29.4109828792415,9.08925414171656,37.4154644710579,-34.0158828792415,11.4541541417166,29.6195044710579,-31.7910828792415,7.96935414171656,35.7498844710579,-20.5695828792415,7.14085414171656,40.2682644710579,-28.3368828792415,9.64585414171656,40.3411644710579,-32.7660828792415,9.65285414171656,37.5172644710579,-34.1180828792415,8.88255414171656,33.0540144710579,-34.5411828792415,0.0477241417165573,0.015764471057917,-0.00376287924151253,0.537054141716558,38.9670644710579,31.3721171207585,-2.21096585828344,58.5721644710579,-62.0397828792415
22,box,right,touch,1,Grasped,599,623.8178,15.4360541417166,22.9628244710579,-24.9270828792415,13.6612541417166,29.8310744710579,-26.6176828792415,9.85945414171656,32.2254944710579,-19.4752828792415,11.0205541417166,35.7488744710579,-26.2642828792415,11.6659541417166,34.7527744710579,-29.4067828792415,9.09475414171656,37.4170644710579,-34.0110828792415,11.4588541417166,29.6210744710579,-31.7872828792415,7.96965414171656,35.7496144710579,-20.5661828792415,7.15225414171656,40.2720644710579,-28.3323828792415,9.65765414171656,40.3444644710579,-32.7585828792415,9.65605414171656,37.5196644710579,-34.1144828792415,8.89035414171656,33.0564044710579,-34.5365828792415,0.0476641417165578,0.015764471057917,-0.00366287924151276,0.536954141716558,38.9672644710579,31.3720171207585,-2.21285585828344,58.5745644710579,-62.0394828792415
22,box,right,touch,1,Grasped,600,624.9575,15.4378541417166,22.9628644710579,-24.9231828792415,13.6662541417166,29.8304244710579,-26.6123828792415,9.86005414171656,32.2258844710579,-19.4709828792415,11.0302541417166,35.7498244710579,-26.2592828792415,11.6730541417166,34.7540044710579,-29.4008828792415,9.09995414171656,37.4201644710579,-34.0054828792415,11.4640541417166,29.6241144710579,-31.7826828792415,7.97095414171656,35.7496844710579,-20.5617828792415,7.16335414171656,40.2755644710579,-28.3301828792415,9.66925414171656,40.3443644710579,-32.7537828792415,9.66045414171656,37.5180644710579,-34.1124828792415,8.89775414171656,33.0577544710579,-34.5330828792415,0.047684141716557,0.015764471057917,-0.00365287924151314,0.537054141716558,38.9673644710579,31.3721171207585,-2.21309585828344,58.5734644710579,-62.0404828792415
22,box,right,touch,1,Grasped,601,625.9852,15.4397541417166,22.9634044710579,-24.9194828792415,13.6706541417166,29.8312544710579,-26.6074828792415,9.86055414171656,32.2264444710579,-19.4667828792415,11.0411541417166,35.7504844710579,-26.2536828792415,11.6808541417166,34.7534344710579,-29.3946828792415,9.10815414171656,37.4230644710579,-33.9979828792415,11.4689541417166,29.6294844710579,-31.7782828792415,7.97255414171656,35.7496244710579,-20.5574828792415,7.17575414171656,40.2789644710579,-28.3281828792415,9.67915414171656,40.3470644710579,-32.7479828792415,9.66535414171656,37.5219644710579,-34.1071828792415,8.90385414171656,33.0611644710579,-34.5293828792415,0.0477541417165579,0.015764471057917,-0.00363287924151301,0.536854141716558,38.9676644710579,31.3722171207585,-2.21284585828344,58.5709644710579,-62.0422828792415
22,box,right,touch,1,Grasped,602,627.0528,15.4408541417166,22.9642444710579,-24.9169828792415,13.6750541417166,29.8315644710579,-26.6031828792415,9.86205414171656,32.2257144710579,-19.4619828792415,11.0511541417166,35.7500944710579,-26.2506828792415,11.6886541417166,34.7548644710579,-29.3890828792415,9.11485414171656,37.4235644710579,-33.9928828792415,11.4734541417166,29.6306444710579,-31.7737828792415,7.97385414171656,35.7500744710579,-20.5531828792415,7.19135414171656,40.2818644710579,-28.3252828792415,9.68855414171656,40.3484644710579,-32.7436828792415,9.67125414171656,37.5248644710579,-34.1020828792415,8.90935414171656,33.0644944710579,-34.5263828792415,0.0478741417165569,0.015764471057917,-0.00366287924151276,0.536654141716557,38.9675644710579,31.3723171207585,-2.21155585828344,58.5661644710579,-62.0449828792415
22,box,right,touch,1,Grasped,603,628.1186,15.4431541417166,22.9641544710579,-24.9121828792415,13.6800541417166,29.8312644710579,-26.5977828792415,9.86355414171656,32.2258244710579,-19.4574828792415,11.0627541417166,35.7500744710579,-26.2462828792415,11.6984541417166,34.7561744710579,-29.3816828792415,9.12175414171656,37.4236644710579,-33.9882828792415,11.4789541417166,29.6327444710579,-31.7688828792415,7.97625414171656,35.7492544710579,-20.5492828792415,7.20735414171656,40.2855644710579,-28.3224828792415,9.70355414171656,40.3504644710579,-32.7356828792415,9.67675414171656,37.5256644710579,-34.0980828792415,8.91725414171656,33.0696744710579,-34.5205828792415,0.0477741417165571,0.015764471057917,-0.00363287924151301,0.537154141716558,38.9678644710579,31.3720171207585,-2.21099585828344,58.5675644710579,-62.0433828792415
22,box,right,touch,1,Grasped,604,629.1735,15.4443541417166,22.9625444710579,-24.9087828792415,13.6852541417166,29.8300744710579,-26.5928828792415,9.86605414171656,32.2245244710579,-19.4524828792415,11.0748541417166,35.7508344710579,-26.2416828792415,11.7080541417166,34.7570244710579,-29.3749828792415,9.12795414171656,37.4221644710579,-33.9852828792415,11.4853541417166,29.6321644710579,-31.7637828792415,7.97845414171656,35.7493444710579,-20.5452828792415,7.22505414171656,40.2911644710579,-28.3173828792415,9.71835414171656,40.3526644710579,-32.7280828792415,9.68805414171656,37.5229644710579,-34.0911828792415,8.92735414171656,33.0750244710579,-34.5139828792415,0.0477841417165568,0.015764471057917,-0.00368287924151289,0.537454141716557,38.9677644710579,31.3719171207585,-2.21152585828344,58.5752644710579,-62.0388828792415
22,box,right,touch,1,Grasped,605,630.1698,15.4459541417166,22.9599044710579,-24.9041828792415,13.6916541417166,29.8297744710579,-26.5866828792415,9.86865414171656,32.2233544710579,-19.4475828792415,11.0880541417166,35.7520544710579,-26.2360828792415,11.7189541417166,34.7576644710579,-29.3672828792415,9.13525414171656,37.4244644710579,-33.9796828792415,11.4924541417166,29.6314144710579,-31.7584828792415,7.98125414171656,35.7488844710579,-20.5413828792415,7.24365414171656,40.2978644710579,-28.3116828792415,9.73325414171656,40.3536644710579,-32.7211828792415,9.69605414171656,37.5243644710579,-34.0849828792415,8.93525414171656,33.0772944710579,-34.5088828792415,0.0477441417165583,0.015764471057917,-0.00370287924151302,0.538254141716557,38.9677644710579,31.3717171207585,-2.21706585828344,58.5771644710579,-62.0380828792415
